,종목코드,회사명,결산월,결산년도,유동비율,당좌비율,부채비율,자기자본비율,차입금의존도,현금비율,순운전자본비율,자기자본이익률,총자산이익률,매출총이익률,영업이익률,매출액성장률,자산성장률,자기자본성장률,매출총이익성장률,총자산회전율,매출채권회전율,재고자산회전율,순운전자본회전율,총부채상환능력비율,label
29,[036640],HRS,12,2015,255.68,162.98,17.98,82.02,21.91,73.05,23.81,0.0,0.0,21.64,8.6,1.15,3.62,5.47,-2.15,16.28,inf,110.23,160.68,41.0,0
30,[095340],ISC,12,2015,541.61,481.24,7.79,92.21,8.45,278.94,29.58,2.46,2.17,43.87,23.59,24.36,17.67,30.55,-0.86,12.52,inf,323.31,111.82,108.64,0
31,[099520],ITX시큐리티,12,2015,231.86,167.97,49.18,50.82,96.79,13.31,27.75,-13.86,-8.41,5.63,-35.01,-47.38,-16.04,-38.14,-84.09,19.47,inf,95.88,173.08,-12.06,1
32,[067290],JW중외신약,12,2015,103.7,90.83,46.6,53.4,87.25,0.22,1.6,2.08,1.12,59.59,10.85,3.15,5.29,4.39,8.71,15.77,inf,262.6,13584.26,8.41,1
33,[001060],JW중외제약,12,2015,143.99,112.38,63.49,36.51,173.92,2.88,18.77,0.17,0.06,36.98,5.04,5.22,4.04,2.24,6.18,18.12,inf,141.22,240.49,-0.99,0
34,[096760],JW홀딩스,12,2015,47.04,43.58,46.02,53.98,85.25,3.44,-17.66,0.92,0.51,,inf,,12.44,4.45,,0.0,,0.0,-0.0,-8.71,0
35,[035900],JYP Ent.,12,2015,178.62,177.36,20.26,79.74,25.4,66.74,15.86,1.51,1.18,27.6,8.17,9.84,0.42,5.16,-10.31,17.24,inf,4351.07,296.44,35.81,0
36,[024120],KB오토시스,12,2015,158.01,120.76,39.82,60.18,66.17,5.56,15.3,3.36,2.06,,,,15.63,11.18,,0.0,,0.0,0.0,13.45,0
37,[021320],KCC건설,12,2015,154.73,125.57,64.3,35.7,180.14,35.18,22.29,-6.23,-2.17,2.08,-9.65,-3.06,-25.82,-22.59,-51.44,24.65,inf,203.01,379.63,5.41,0
38,[036670],KCI,12,2015,226.26,139.96,20.58,79.42,25.91,66.88,25.27,3.23,2.44,inf,inf,,-1.04,9.49,22.7,0.0,,0.0,0.0,85.16,0
39,[009440],KC그린홀딩스,12,2015,666.81,666.81,18.26,81.74,22.35,123.58,3.77,0.0,0.0,,inf,,1.61,3.82,,0.0,,,0.0,15.73,0
40,[119650],KC코트렐,12,2015,116.49,111.4,61.76,38.24,161.48,5.67,7.65,-2.74,-0.99,3.3,-4.59,-11.39,-16.54,-7.5,-34.69,29.68,inf,1025.31,793.1,-1.09,0
41,[092220],KEC,12,2015,127.52,90.69,55.8,44.2,126.26,2.98,10.42,-0.07,-0.03,inf,inf,,-0.08,-0.77,-21.56,0.0,,0.0,0.0,-0.88,0
42,[151860],KG ETS,12,2015,84.28,62.3,29.27,70.73,41.38,5.5,-3.01,3.94,2.79,inf,inf,,14.22,14.27,-32.77,0.0,0.0,0.0,-0.0,19.16,0
43,[046440],KG모빌리언스,12,2015,147.35,147.35,64.04,35.96,178.1,0.66,26.75,0.0,0.0,34.21,14.63,16.53,23.65,12.2,6.33,12.39,inf,inf,121.34,-6.62,0
44,[035600],KG이니시스,12,2015,134.29,133.1,44.79,55.21,81.14,13.73,9.91,0.0,0.0,22.84,9.02,2.77,1.05,13.15,9.34,26.53,inf,7079.96,813.93,-53.2,0
45,[001390],KG케미칼,12,2015,88.8,51.38,39.78,60.22,66.06,9.17,-4.08,1.2,0.7,23.41,5.78,-0.63,0.15,7.79,14.69,15.43,inf,118.86,-1346.0,12.78,0
46,[060720],KH바텍,12,2015,331.49,292.41,12.54,87.46,14.34,174.58,28.12,1.9,1.46,inf,inf,,-17.22,6.14,-29.65,0.0,0.0,0.0,0.0,17.11,0
47,[001940],KISCO홀딩스,12,2015,14768.86,14768.86,0.16,99.84,0.16,2222.02,12.05,0.96,0.95,,inf,,3.4,5.24,,0.0,,,0.0,1135.29,0
48,[058400],KNN,12,2015,376.82,376.51,7.6,92.4,8.23,64.48,16.45,1.04,0.96,inf,inf,,3.21,2.04,3.67,0.0,,0.0,0.0,74.1,0
49,[025000],KPX케미칼,12,2015,348.42,247.28,0.0,0.0,,24.99,41.47,,0.0,11.03,5.37,-12.17,-3.11,,-2.61,32.69,inf,204.7,209.73,inf,0
50,[092230],KPX홀딩스,12,2015,4440.83,4440.83,0.91,99.09,0.92,482.5,15.58,1.96,1.93,,inf,,3.7,5.17,,0.0,,,0.0,177.5,0
51,[000040],KR모터스,12,2015,111.82,79.19,56.87,43.13,131.83,14.63,5.63,-7.1,-2.74,1.86,-18.96,1.62,15.43,49.03,102.88,13.73,inf,97.16,965.33,-21.7,0
52,[044450],KSS해운,12,2015,38.83,35.14,61.13,38.87,157.24,7.41,-9.75,2.92,1.11,27.36,20.72,4.33,10.25,15.07,24.52,6.89,inf,998.21,-186.79,16.18,0
53,[058850],KTcs,12,2015,209.67,184.76,31.44,68.56,45.86,55.42,32.94,1.39,0.97,,inf,,2.44,-0.18,,0.0,0.0,0.0,0.0,20.63,0
54,[093050],LF,12,2015,560.49,353.29,24.11,75.89,31.77,103.12,52.05,1.37,1.02,60.76,6.34,3.22,1.37,3.98,-0.67,26.19,inf,118.83,137.81,18.88,0
55,[003550],LG,12,2015,247.26,247.26,3.39,96.61,3.51,47.18,2.42,0.0,0.0,,,,1.92,2.08,,0.0,,,0.0,128.96,0
56,[034220],LG디스플레이,12,2015,126.75,98.31,43.94,56.06,78.39,1.66,8.61,2.21,1.17,inf,inf,,-3.81,6.64,-0.57,0.0,,0.0,0.0,17.97,0
57,[068870],LG생명과학,12,2015,157.99,85.3,63.29,36.71,172.41,11.94,12.96,1.23,0.46,46.77,6.0,5.75,8.49,3.69,8.44,16.1,inf,101.4,254.02,11.9,1
58,[051900],LG생활건강,12,2015,103.11,68.42,50.49,49.51,101.99,24.74,0.81,5.68,2.71,,,,9.69,18.89,,0.0,0.0,0.0,0.0,26.15,0
59,[032640],LG유플러스,12,2015,76.54,65.62,62.5,37.5,166.65,7.78,-6.54,2.12,0.77,,,,-0.39,6.88,,0.0,0.0,0.0,-0.0,24.14,0
60,[011070],LG이노텍,12,2015,124.0,105.42,56.64,43.36,130.61,21.77,8.1,0.7,0.28,,,,-12.32,1.25,,0.0,,0.0,0.0,29.42,0
61,[066570],LG전자,12,2015,84.8,73.95,65.36,34.64,188.65,6.96,-5.73,-0.96,-0.34,,,,-1.58,-5.56,,0.0,,0.0,-0.0,4.0,0
62,[051910],LG화학,12,2015,208.47,158.79,23.33,76.67,30.43,41.7,22.81,2.51,1.87,,,,2.13,7.73,,0.0,,0.0,0.0,72.68,0
63,[079550],LIG넥스원,12,2015,92.96,84.47,67.1,32.9,203.95,3.06,-4.54,4.44,1.23,inf,inf,,7.85,61.14,43.72,0.0,,0.0,-0.0,0.82,0
64,[006260],LS,12,2015,109.66,109.66,17.81,82.19,21.67,45.46,0.34,0.0,0.0,,inf,,2.82,4.27,,0.0,,,-0.0,24.2,0
65,[000680],LS네트웍스,12,2015,97.88,42.93,58.77,41.23,142.53,0.81,-0.6,-4.11,-1.79,inf,-inf,,-6.93,-15.78,-24.65,0.0,0.0,0.0,-0.0,0.66,0
66,[159910],MBK,12,2015,55.02,50.97,54.31,45.69,118.84,24.86,-23.5,-15.26,-7.77,42.61,-41.42,48.4,17.51,-5.87,513.98,7.06,inf,244.61,-100.71,-34.16,1
67,[086960],MDS테크,12,2015,443.04,421.51,20.01,79.99,25.02,38.02,58.5,2.53,2.01,34.73,10.51,9.68,6.62,8.26,11.05,20.99,103.84,767.72,95.1,19.43,0
68,[023150],MH에탄올,12,2015,105.94,88.4,26.84,73.16,36.69,15.34,1.55,3.52,2.36,27.71,22.02,2.86,-7.7,9.64,17.58,15.37,inf,237.9,-8691.98,63.22,0
69,[035420],NAVER,12,2015,244.17,244.03,29.79,70.21,42.43,48.04,31.49,7.49,5.26,,inf,,24.02,24.3,,0.0,,0.0,0.0,78.53,0
70,[160550],NEW,12,2015,298.05,298.05,32.6,67.4,48.37,131.27,54.75,0.0,0.0,inf,-inf,,10.85,3.94,-43.59,0.0,,,0.0,-25.9,0
71,[034310],NICE,12,2015,11.63,11.63,18.15,81.85,22.17,3.19,-14.62,0.54,0.45,,inf,,1.46,-4.24,,0.0,,,-0.0,11.4,0
72,[030190],NICE평가정보,12,2015,177.6,177.6,26.57,73.43,36.19,81.32,19.35,4.43,3.26,,inf,,13.9,13.53,,0.0,0.0,,0.0,62.92,0
73,[008260],NI스틸,12,2015,,-inf,55.62,44.38,125.35,inf,0.0,2.35,1.03,inf,inf,,4.41,8.04,-0.98,0.0,,0.0,,0.0,0
74,[010060],OCI,12,2015,167.37,128.01,45.97,54.03,85.07,26.57,9.73,-1.63,-0.89,,,,-4.43,-6.83,,0.0,,0.0,0.0,0.65,0
75,[024940],PN풍년,12,2015,189.26,131.05,34.01,65.99,51.53,60.59,29.68,1.14,0.75,inf,inf,,2.08,3.83,3.22,0.0,,0.0,0.0,30.59,0
76,[091340],S&K폴리텍,12,2015,807.94,770.35,41.58,58.42,71.18,379.21,57.99,2.09,1.33,36.5,19.68,9.41,34.42,11.28,19.26,8.21,58.86,233.58,37.57,8.42,0
77,[010950],S-Oil,12,2015,176.54,126.93,50.1,49.9,100.39,6.2,22.87,3.05,1.49,8.11,4.57,-37.35,5.23,9.74,427.15,42.53,inf,222.84,535.33,45.82,0
78,[034120],SBS,12,2015,220.26,219.4,39.0,61.0,63.95,10.67,29.47,1.56,1.0,,inf,,16.68,5.02,,0.0,0.0,0.0,0.0,8.73,0
79,[036120],SCI평가정보,12,2015,275.85,275.85,21.63,78.37,27.61,209.42,36.95,1.31,1.01,,inf,,3.44,5.36,,0.0,,,0.0,62.72,0
80,[099220],SDN,12,2015,46.85,27.54,50.51,49.49,102.07,1.82,-24.29,0.0,0.0,33.04,10.67,12.35,-1.8,10.73,45.56,12.62,inf,134.15,-164.81,6.56,0
81,[040610],SG&G,12,2015,66.45,55.24,20.46,79.54,25.73,14.83,-6.62,1.09,0.86,inf,inf,,3.61,4.45,-22.1,0.0,,0.0,-0.0,10.54,0
82,[049470],SGA,12,2015,400.67,389.47,28.05,71.95,38.99,63.85,43.44,-1.37,-0.86,inf,-inf,,4.79,39.48,-27.04,0.0,0.0,0.0,0.0,-22.41,0
83,[184230],SGA솔루션즈,12,2015,288.67,236.68,27.17,72.83,37.3,87.73,47.55,2.43,1.9,47.03,28.59,-32.34,30.63,11.9,-30.96,8.72,30.71,97.15,42.53,-6.95,0
84,[004060],SG세계물산,12,2015,162.39,69.86,29.2,0.0,inf,11.18,15.25,inf,0.23,28.63,1.22,-7.39,0.9,,-1.83,27.17,inf,117.03,411.78,13.58,0
85,[001380],SG충남방적,12,2015,62.42,28.91,42.71,57.29,74.55,6.43,-12.82,-0.68,-0.4,inf,-inf,,-1.17,-3.73,-6.39,0.0,,0.0,-0.0,5.98,1
86,[052300],SH 홀딩스,12,2015,155.8,155.76,24.06,75.94,31.68,129.68,13.29,2.43,1.95,inf,-inf,,61.53,40.3,-7.33,0.0,,0.0,0.0,-15.92,1
87,[002360],SH에너지화학,12,2015,379.52,311.55,20.44,79.56,25.69,110.18,41.16,3.63,2.83,16.27,10.71,-5.77,4.54,8.8,15.46,47.92,inf,422.45,331.72,105.36,0
88,[009160],SIMPAC,12,2015,96.59,62.41,40.41,59.59,67.82,9.27,-1.32,0.0,0.0,19.62,11.09,-6.3,12.15,7.94,6.82,15.25,80.89,131.97,-5463.26,7.03,0
89,[034730],SK,12,2015,49.09,43.58,34.74,65.26,53.23,6.48,-4.37,0.0,0.0,,inf,,453.79,978.62,,0.0,,0.0,-0.0,1.13,0
90,[011790],SKC,12,2015,96.26,61.85,42.89,57.11,75.09,0.44,-0.57,0.0,0.0,23.29,12.51,-14.9,2.45,18.54,18.11,15.52,inf,271.98,-7754.63,15.31,0
91,[018670],SK가스,12,2015,122.05,93.1,50.33,49.67,101.33,12.51,6.22,0.0,0.0,8.51,1.9,-34.46,7.97,1.99,-15.6,32.1,inf,352.86,1372.83,3.29,0
92,[001740],SK네트웍스,12,2015,87.02,61.27,68.27,31.73,215.19,26.15,-6.59,0.81,0.25,7.28,0.97,-8.69,-2.27,2.25,-11.74,59.92,inf,530.49,-2469.72,1.83,0
93,[096770],SK이노베이션,12,2015,551.83,525.91,10.21,89.79,11.37,329.75,7.63,-0.01,-0.01,50.67,23.08,5.18,-0.24,0.03,9.18,2.88,inf,623.55,124.57,40.46,0
94,[066270],SK컴즈,12,2015,287.23,287.04,22.96,77.04,29.8,79.78,40.89,-2.95,-2.26,,,,-13.44,-12.44,,0.0,,0.0,0.0,-7.73,1
95,[017670],SK텔레콤,12,2015,77.72,76.41,40.47,59.53,67.98,12.36,-3.36,0.0,0.0,,,,1.91,1.75,,0.0,,0.0,-0.0,31.46,0
96,[000660],SK하이닉스,12,2015,177.27,147.64,28.04,71.96,38.97,21.36,12.77,5.24,3.72,41.42,27.03,11.17,13.39,17.02,5.24,17.36,inf,357.74,336.25,96.13,0
97,[048550],SM C&C,12,2015,163.41,163.41,36.39,63.61,57.21,61.39,20.72,-2.41,-1.57,inf,-inf,,1.21,-3.74,34.22,0.0,0.0,,0.0,20.05,0
98,[036540],STS반도체,12,2015,148.95,134.07,65.08,34.92,186.4,82.84,7.54,-27.53,-9.48,inf,-inf,,-12.24,-10.0,-72.46,0.0,,0.0,-0.0,1.29,1
99,[011810],STX,12,2015,97.8,76.64,93.16,6.84,1362.39,6.85,-1.41,-15.68,-1.23,,-inf,,-5.04,-26.27,,0.0,,0.0,0.0,2.94,0
100,[077970],STX엔진,12,2015,140.73,91.92,86.82,13.18,658.44,31.93,17.66,22.59,0.95,7.92,0.0,-10.93,-6.08,-390.07,26.89,16.43,inf,77.61,309.6,6.55,0
101,[071970],STX중공업,12,2015,98.28,74.57,92.52,7.48,1237.15,14.0,-0.67,-2.48,-0.09,inf,inf,,-4.49,-3628.97,177.96,0.0,,0.0,-0.0,0.36,0
102,[032540],TJ미디어,12,2015,714.95,456.64,12.07,87.93,13.73,106.0,35.58,0.7,0.63,22.55,3.57,26.52,4.25,2.25,36.32,18.31,inf,125.04,137.78,2.34,0
103,[048770],TPC,12,2015,122.24,71.03,60.51,39.49,153.24,8.29,10.69,0.57,0.23,19.2,1.85,15.04,5.08,2.92,6.26,22.99,inf,99.75,537.33,0.36,0
104,[024070],WISCOM,12,2015,818.41,742.8,8.97,91.03,9.86,66.3,50.34,0.47,0.43,5.61,1.07,-0.98,-3.07,-1.3,-28.91,25.03,inf,446.59,129.14,32.88,0
105,[057030],YBM시사닷컴,12,2015,170.1,131.42,32.26,67.74,47.62,59.58,20.38,0.85,0.59,inf,inf,,1.94,-2.11,-12.55,0.0,0.0,0.0,0.0,17.09,1
106,[037270],YG PLUS,12,2015,1066.67,1066.67,3.8,96.2,3.95,131.67,35.82,-0.42,-0.41,0.66,-63.05,-8.63,6.28,3.68,-93.29,1.28,inf,inf,6.49,-62.88,0
107,[040300],YTN,12,2015,170.78,169.17,41.57,58.43,71.15,42.84,6.35,-0.51,-0.29,0.0,-4.66,10.39,-10.72,-4.96,,9.12,inf,8335.26,279.05,-14.3,0
108,[051390],YW,12,2015,286.43,282.76,23.82,76.18,31.26,58.26,22.8,-0.28,-0.22,32.08,16.48,27.55,2.54,-5.3,50.41,3.07,inf,395.52,29.86,-21.52,0
109,[052220],iMBC,12,2015,288.39,288.39,21.54,78.46,27.46,20.83,40.16,0.89,0.67,inf,inf,,-6.91,2.48,9.64,0.0,,,0.0,-39.56,0
110,[079940],가비아,12,2015,180.0,180.0,26.34,73.66,35.76,106.22,13.44,2.66,1.89,inf,inf,,2.99,11.33,15.32,0.0,0.0,,0.0,66.85,0
111,[000500],가온전선,12,2015,181.81,142.97,46.55,53.45,87.08,23.48,24.63,0.14,0.08,5.14,1.23,-13.39,0.78,-2.92,-5.88,36.7,inf,299.16,377.82,16.3,0
112,[030270],가희,12,2015,46.41,21.46,59.42,40.58,146.41,7.95,-27.52,-17.43,-6.08,-inf,-inf,,-16.75,11.92,-1946.4,0.0,0.0,0.0,-0.0,0.17,1
113,[000860],강남제비스코,12,2015,493.89,417.53,14.86,85.14,17.46,157.18,46.98,0.0,0.0,18.98,9.4,-13.52,4.67,7.37,1.98,18.97,inf,197.67,108.5,49.52,0
114,[217730],강스템바이오텍,12,2015,637.19,625.9,14.99,85.01,17.64,211.66,63.77,-14.89,-8.92,82.97,-345.23,613.09,244.05,-1210.3,678.71,2.3,inf,132.9,9.39,-101.45,0
115,[035250],강원랜드,12,2015,261.93,261.69,18.73,81.27,23.04,15.6,29.1,0.0,0.0,inf,inf,,9.1,10.36,12.49,0.0,,0.0,0.0,84.24,0
116,[011420],갤럭시아에스엠,12,2015,270.56,270.56,24.6,75.4,32.63,137.32,37.98,1.74,1.2,inf,inf,,65.8,116.5,205.49,0.0,,0.0,0.0,18.19,0
117,[039240],경남스틸,12,2015,153.02,93.62,46.82,53.18,88.02,0.86,24.64,2.75,1.44,inf,inf,,6.68,9.69,5.72,0.0,,0.0,0.0,-12.59,0
118,[053950],경남제약,12,2015,76.5,54.83,64.19,35.81,179.23,5.96,-14.05,3.68,1.11,inf,inf,,-1.79,42.28,13.92,0.0,0.0,0.0,-0.0,15.9,0
119,[002100],경농,12,2015,147.27,35.24,34.72,65.28,53.19,8.91,13.42,0.95,0.65,38.67,6.63,2.08,14.83,2.4,-0.85,13.87,216.96,44.6,235.84,-10.26,0
120,[009450],경동나비엔,12,2015,95.04,66.32,42.99,57.01,75.4,2.88,-2.08,2.74,1.47,,,,-1.88,10.25,,0.0,,0.0,-0.0,26.16,0
121,[012320],경동도시가스,12,2015,155.88,155.56,40.79,59.21,68.89,23.7,17.79,-0.27,-0.15,inf,inf,,-15.86,-2.19,-15.91,0.0,0.0,0.0,0.0,-8.6,0
122,[011040],경동제약,12,2015,516.3,393.53,10.71,89.29,11.99,107.65,29.38,1.74,1.51,60.14,17.23,-1.91,2.6,7.52,-0.31,16.49,inf,176.72,144.88,72.48,0
123,[000050],경방,12,2015,58.2,32.08,46.66,53.34,87.49,2.78,-4.78,0.82,0.43,,,,-1.22,3.1,,0.0,,0.0,-0.0,7.5,0
124,[214390],경보제약,12,2015,162.85,86.12,37.17,62.83,59.17,6.82,20.75,6.83,3.59,inf,inf,,16.34,79.74,-2.51,0.0,,0.0,0.0,5.83,0
125,[012610],경인양행,12,2015,138.3,61.98,32.1,67.9,47.27,7.34,11.45,0.01,0.01,15.21,0.04,-8.08,2.41,-0.28,-27.56,16.17,108.14,73.0,330.53,-1.41,0
126,[009140],경인전자,12,2015,931.07,928.93,5.06,94.94,5.33,362.34,30.88,0.58,0.55,inf,inf,,0.03,1.74,-19.55,0.0,0.0,0.0,0.0,21.3,0
127,[024910],경창산업,12,2015,57.45,38.84,77.22,22.78,339.07,2.24,-19.84,0.0,0.0,9.06,2.0,-1.42,2.65,0.5,-13.7,28.16,inf,322.41,-363.04,17.59,0
128,[013580],계룡건설산업,12,2015,85.7,72.16,74.66,25.34,294.64,11.24,-9.1,1.05,0.26,,,,-1.14,4.52,,0.0,,0.0,-0.0,9.06,0
129,[012200],계양전기,12,2015,235.94,149.49,22.85,77.15,29.62,15.81,25.74,1.53,1.18,19.49,2.72,3.57,4.19,4.92,5.17,34.53,136.68,189.82,323.57,36.94,0
130,[002140],고려산업,12,2015,110.1,84.57,50.61,49.39,102.46,19.59,4.77,1.7,0.82,15.82,4.04,0.46,-1.72,4.26,2.02,30.93,inf,222.03,1646.94,11.52,0
131,[049720],고려신용정보,12,2015,154.43,154.43,39.52,60.48,65.33,54.75,20.38,5.99,3.47,,inf,,6.65,16.4,,0.0,0.0,,0.0,44.93,0
132,[010130],고려아연,12,2015,668.64,381.5,8.43,91.57,9.2,23.55,33.69,0.0,0.0,17.91,15.59,-3.03,5.56,8.62,2.06,19.35,inf,99.86,148.24,194.04,0
133,[002240],고려제강,12,2015,98.83,66.84,24.49,75.51,32.43,0.15,-0.22,0.46,0.34,16.84,5.39,-8.51,-3.74,1.0,-6.07,9.23,inf,140.21,-4140.91,18.54,0
134,[014570],고려제약,12,2015,553.36,417.63,16.08,83.92,19.16,44.06,55.96,0.0,0.0,inf,inf,,-4.79,1.82,-1.05,0.0,0.0,0.0,0.0,64.43,0
135,[098460],고영,12,2015,614.05,552.74,16.61,83.39,19.91,94.56,65.3,4.62,3.85,inf,inf,,12.9,12.86,10.04,0.0,,0.0,0.0,57.0,0
136,[215000],골프존,12,2015,146.35,142.62,38.78,0.0,inf,95.46,13.16,,,67.07,25.87,,,,,,,,,62.9,0
137,[009290],광동제약,12,2015,207.43,141.49,33.03,66.97,49.33,17.98,23.47,2.57,1.77,inf,inf,,18.44,11.46,11.24,0.0,0.0,0.0,0.0,14.07,0
138,[014200],광림,12,2015,105.95,66.32,44.72,55.28,80.89,33.25,2.21,2.2,1.18,inf,inf,,-40.24,-37.27,5.34,0.0,,0.0,0.0,-4.07,0
139,[017040],광명전기,12,2015,198.38,164.78,33.83,66.17,51.13,117.58,29.02,1.24,0.76,10.19,4.13,-19.69,-10.08,5.53,-39.97,20.44,inf,184.75,201.38,37.66,0
140,[017900],광전자,12,2015,744.8,658.43,13.75,86.25,15.95,64.0,50.38,-0.38,-0.33,inf,-inf,,-7.17,-7.7,427.12,0.0,,0.0,0.0,52.06,0
141,[037710],광주신세계,12,2015,20.04,16.98,25.49,74.51,34.21,6.62,-20.27,0.0,0.0,66.91,26.68,0.25,1.03,9.53,3.01,7.82,881.41,1044.54,-119.57,31.0,0
142,[026910],광진실업,12,2015,242.87,92.86,32.67,67.33,48.53,36.1,30.52,-0.11,-0.07,inf,-inf,,-2.26,1.23,-25.97,0.0,0.0,0.0,0.0,25.75,0
143,[053270],구영테크,12,2015,104.08,87.09,57.12,42.88,133.2,14.53,1.57,1.85,0.78,16.46,4.05,11.97,1.2,4.42,7.69,21.32,inf,296.3,-3439.4,15.97,0
